KPH,Amplitud (CLEX),Predicción (CLEX),|Residuo| (CLEX),P(Desalineación) Global (CLEX),P(Desbalanceo) Global (CLEX),Amplitud (CLEY),Predicción (CLEY),|Residuo| (CLEY),P(Desalineación) Global (CLEY),P(Desbalanceo) Global (CLEY),Amplitud (CLAX),Predicción (CLAX),|Residuo| (CLAX),P(Desalineación) Global (CLAX),P(Desbalanceo) Global (CLAX),Amplitud (CLAY),Predicción (CLAY),|Residuo| (CLAY),P(Desalineación) Global (CLAY),P(Desbalanceo) Global (CLAY),ResiduoMedioArchivo
1.0,1.0,0.9885115111530511,0.011488488846948863,0.40186139734048687,0.5981386026595131,0.9548548481522836,0.9885115111530511,0.03365666300076753,0.8808141736081722,0.11918582639182784,0.0,0.9885115111530511,0.9885115111530511,0.9777284000949867,0.022271599905013262,0.009049922418208567,0.9885115111530511,0.9794615887348426,0.9580174350422063,0.04198256495779373,0.37877409000330603
0.9805288995800552,0.930243902864273,0.944730168970356,0.014486266106082946,0.40186139734048687,0.5981386026595131,0.9139763050306833,0.944730168970356,0.03075386393967272,0.8808141736081722,0.11918582639182784,0.061335069893857064,0.944730168970356,0.8833950990764989,0.9777284000949867,0.022271599905013262,0.08026864508884035,0.944730168970356,0.8644615238815156,0.9580174350422063,0.04198256495779373,0.37877409000330603
0.961959675525309,0.884341431156809,0.9043598829755317,0.02001845181872275,0.40186139734048687,0.5981386026595131,0.8556770762853665,0.9043598829755317,0.048682806690165226,0.8808141736081722,0.11918582639182784,0.18870750369788025,0.9043598829755317,0.7156523792776515,0.9777284000949867,0.022271599905013262,0.09310200173172611,0.9043598829755317,0.8112578812438056,0.9580174350422063,0.04198256495779373,0.37877409000330603
0.943844735306703,0.7408869152050297,0.8662502492793116,0.1253633340742819,0.40186139734048687,0.5981386026595131,0.8446911129405921,0.8662502492793116,0.02155913633871953,0.8808141736081722,0.11918582639182784,0.16178150324006335,0.8662502492793116,0.7044687460392483,0.9777284000949867,0.022271599905013262,0.044718485532407204,0.8662502492793116,0.8215317637469044,0.9580174350422063,0.04198256495779373,0.37877409000330603
0.9263818824749508,0.7030960583031121,0.8306772186878879,0.12758116038477585,0.40186139734048687,0.5981386026595131,1.0,0.8306772186878879,0.1693227813121121,0.8808141736081722,0.11918582639182784,0.0849648343559517,0.8306772186878879,0.7457123843319362,0.9777284000949867,0.022271599905013262,0.0,0.8306772186878879,0.8306772186878879,0.9580174350422063,0.04198256495779373,0.37877409000330603
0.909897488947061,0.6998816306600535,0.7981244709907123,0.09824284033065878,0.40186139734048687,0.5981386026595131,0.7392905156420984,0.7981244709907123,0.05883395534861391,0.8808141736081722,0.11918582639182784,0.38891683254213927,0.7981244709907123,0.409207638448573,0.9777284000949867,0.022271599905013262,0.18835436538374895,0.7981244709907123,0.6097701056069633,0.9580174350422063,0.04198256495779373,0.37877409000330603
0.8941472978821101,0.5315975832387902,0.7679343704245027,0.2363367871857125,0.40186139734048687,0.5981386026595131,0.8535867464810032,0.7679343704245027,0.08565237605650045,0.8808141736081722,0.11918582639182784,0.32524376608961303,0.7679343704245027,0.4426906043348897,0.9777284000949867,0.022271599905013262,0.1479679884233469,0.7679343704245027,0.6199663820011558,0.9580174350422063,0.04198256495779373,0.37877409000330603
0.8787827294165176,0.476207338643281,0.7393257304144463,0.26311839177116525,0.40186139734048687,0.5981386026595131,0.8163667481053842,0.7393257304144463,0.07704101769093796,0.8808141736081722,0.11918582639182784,0.3960332633022663,0.7393257304144463,0.34329246711218,0.9777284000949867,0.022271599905013262,0.2131853220439326,0.7393257304144463,0.5261404083705137,0.9580174350422063,0.04198256495779373,0.37877409000330603
0.8639913443758387,0.4838510036306687,0.7125547644080996,0.22870376077743093,0.40186139734048687,0.5981386026595131,0.8657282675977251,0.7125547644080996,0.15317350318962553,0.8808141736081722,0.11918582639182784,0.30333066430909206,0.7125547644080996,0.40922410009900756,0.9777284000949867,0.022271599905013262,0.2406178972396018,0.7125547644080996,0.4719368671684978,0.9580174350422063,0.04198256495779373,0.37877409000330603
0.8502112816896885,0.4676064412335439,0.6882811476400441,0.22067470640650022,0.40186139734048687,0.5981386026595131,0.7118610588438923,0.6882811476400441,0.02357991120384817,0.8808141736081722,0.11918582639182784,0.460459638015823,0.6882811476400441,0.2278215096242211,0.9777284000949867,0.022271599905013262,0.20200661970494904,0.6882811476400441,0.48627452793509507,0.9580174350422063,0.04198256495779373,0.37877409000330603
0.8366940150089197,0.4778056950010132,0.6650837713533269,0.18727807635231364,0.40186139734048687,0.5981386026595131,0.792687964205304,0.6650837713533269,0.1276041928519771,0.8808141736081722,0.11918582639182784,0.44695692317394986,0.6650837713533269,0.218126848179377,0.9777284000949867,0.022271599905013262,0.31892214100577543,0.6650837713533269,0.34616163034755143,0.9580174350422063,0.04198256495779373,0.37877409000330603
0.823509410150963,0.42827717631439377,0.6430316973121759,0.21475452099778214,0.40186139734048687,0.5981386026595131,0.632290912308668,0.6430316973121759,0.010740785003507947,0.8808141736081722,0.11918582639182784,0.5312137621879565,0.6430316973121759,0.11181793512421945,0.9777284000949867,0.022271599905013262,0.34136407801659807,0.6430316973121759,0.30166761929557784,0.9580174350422063,0.04198256495779373,0.37877409000330603
0.8108969887671356,0.3538117772170093,0.622457833016981,0.2686460557999717,0.40186139734048687,0.5981386026595131,0.7339751587856256,0.622457833016981,0.11151732576864459,0.8808141736081722,0.11918582639182784,0.4551391071551407,0.622457833016981,0.16731872586184027,0.9777284000949867,0.022271599905013262,0.3280347766638647,0.622457833016981,0.2944230563531163,0.9580174350422063,0.04198256495779373,0.37877409000330603
0.798845977571446,0.30789945423052156,0.6032673760787237,0.29536792184820215,0.40186139734048687,0.5981386026595131,0.785448031061537,0.6032673760787237,0.18218065498281333,0.8808141736081722,0.11918582639182784,0.4263956257278232,0.6032673760787237,0.17687175035090053,0.9777284000949867,0.022271599905013262,0.3235012144668654,0.6032673760787237,0.2797661616118583,0.9580174350422063,0.04198256495779373,0.37877409000330603
0.7870403053771324,0.3461067899624748,0.5849029534653685,0.23879616350289368,0.40186139734048687,0.5981386026595131,0.7601994004195856,0.5849029534653685,0.1752964469542171,0.8808141736081722,0.11918582639182784,0.4844090663618239,0.5849029534653685,0.10049388710354457,0.9777284000949867,0.022271599905013262,0.3435254376985626,0.5849029534653685,0.24137751576680588,0.9580174350422063,0.04198256495779373,0.37877409000330603
0.7766567621092506,0.35569033118610616,0.569100917236169,0.2134105860500628,0.40186139734048687,0.5981386026595131,0.6964865760761265,0.569100917236169,0.12738565883995756,0.8808141736081722,0.11918582639182784,0.6060732505242532,0.569100917236169,0.03697233328808425,0.9777284000949867,0.022271599905013262,0.3662774138946925,0.569100917236169,0.20282350334147647,0.9580174350422063,0.04198256495779373,0.37877409000330603
0.7663662396025579,0.3166347474219515,0.5537585679771402,0.23712382055518866,0.40186139734048687,0.5981386026595131,0.6178116801782014,0.5537585679771402,0.06405311220106125,0.8808141736081722,0.11918582639182784,0.6823714602098683,0.5537585679771402,0.1286128922327281,0.9777284000949867,0.022271599905013262,0.4003365384520674,0.5537585679771402,0.15342202952507278,0.9580174350422063,0.04198256495779373,0.37877409000330603
