KPH,Amplitud (CGSX),Predicción (CGSX),|Residuo| (CGSX),P(Desalineación) Global (CGSX),P(Desbalanceo) Global (CGSX),Amplitud (CGSY),Predicción (CGSY),|Residuo| (CGSY),P(Desalineación) Global (CGSY),P(Desbalanceo) Global (CGSY),Amplitud (CGIX),Predicción (CGIX),|Residuo| (CGIX),P(Desalineación) Global (CGIX),P(Desbalanceo) Global (CGIX),Amplitud (CGIY),Predicción (CGIY),|Residuo| (CGIY),P(Desalineación) Global (CGIY),P(Desbalanceo) Global (CGIY),Amplitud (CGTX),Predicción (CGTX),|Residuo| (CGTX),P(Desalineación) Global (CGTX),P(Desbalanceo) Global (CGTX),Amplitud (CGTY),Predicción (CGTY),|Residuo| (CGTY),P(Desalineación) Global (CGTY),P(Desbalanceo) Global (CGTY),ResiduoMedioArchivo
0.9999999999999999,1.0,0.9885115111530509,0.011488488846949085,0.44536452310823127,0.5546354768917687,1.0,0.9885115111530509,0.011488488846949085,0.776578359072249,0.22342164092775096,1.0,0.9885115111530509,0.011488488846949085,0.08203741413714598,0.9179625858628541,1.0,0.9885115111530509,0.011488488846949085,0.09082167948708715,0.9091783205129128,1.0,0.9885115111530509,0.011488488846949085,0.130714810979033,0.869285189020967,0.9380724386805213,0.9885115111530509,0.050439072472529656,0.7938738860319139,0.2061261139680861,0.15343435465655525
0.9915320225812732,0.939329384590522,0.9692864883698704,0.02995710377934846,0.44536452310823127,0.5546354768917687,0.9083160398189389,0.9692864883698704,0.06097044855093148,0.776578359072249,0.22342164092775096,0.9585391675421485,0.9692864883698704,0.010747320827721896,0.08203741413714598,0.9179625858628541,0.9623486098716729,0.9692864883698704,0.006937878498197492,0.09082167948708715,0.9091783205129128,0.9602271024239005,0.9692864883698704,0.009059385945969889,0.130714810979033,0.869285189020967,0.8816218699126339,0.9692864883698704,0.0876646184572365,0.7938738860319139,0.2061261139680861,0.15343435465655525
0.9824318894157357,0.9218045201427967,0.9489431173788687,0.027138597236072037,0.44536452310823127,0.5546354768917687,0.8781239079072274,0.9489431173788687,0.07081920947164133,0.776578359072249,0.22342164092775096,0.9325136632024248,0.9489431173788687,0.016429454176443925,0.08203741413714598,0.9179625858628541,0.9388134622806631,0.9489431173788687,0.010129655098205625,0.09082167948708715,0.9091783205129128,0.933936277699383,0.9489431173788687,0.015006839679485684,0.130714810979033,0.869285189020967,0.8611294040904613,0.9489431173788687,0.08781371328840737,0.7938738860319139,0.2061261139680861,0.15343435465655525
0.9735282874617736,0.8876127952455171,0.9293535780381112,0.04174078279259419,0.44536452310823127,0.5546354768917687,0.8886293924182994,0.9293535780381112,0.04072418561981184,0.776578359072249,0.22342164092775096,0.9012192118377483,0.9293535780381112,0.028134366200362915,0.08203741413714598,0.9179625858628541,0.904166753715107,0.9293535780381112,0.02518682432300423,0.09082167948708715,0.9091783205129128,0.9099590235675047,0.9293535780381112,0.019394554470606562,0.130714810979033,0.869285189020967,0.86700612552161,0.9293535780381112,0.0623474525165012,0.7938738860319139,0.2061261139680861,0.15343435465655525
0.9654094010614102,0.8704159123511626,0.91175896615701,0.04134305380584746,0.44536452310823127,0.5546354768917687,0.8694246335363832,0.91175896615701,0.0423343326206268,0.776578359072249,0.22342164092775096,0.892165462728593,0.91175896615701,0.019593503428417036,0.08203741413714598,0.9179625858628541,0.9155296098167273,0.91175896615701,0.0037706436597172432,0.09082167948708715,0.9091783205129128,0.9059924387598574,0.91175896615701,0.005766527397152665,0.130714810979033,0.869285189020967,0.881893768068472,0.91175896615701,0.029865198088538047,0.7938738860319139,0.2061261139680861,0.15343435465655525
0.9573348369514143,0.8507455085389408,0.8945118710245474,0.043766362485606614,0.44536452310823127,0.5546354768917687,0.860884518467175,0.8945118710245474,0.03362735255737248,0.776578359072249,0.22342164092775096,0.8563077720392593,0.8945118710245474,0.03820409898528809,0.08203741413714598,0.9179625858628541,0.8930628951283764,0.8945118710245474,0.0014489758961709898,0.09082167948708715,0.9091783205129128,0.8844108430395287,0.8945118710245474,0.010101027985018773,0.130714810979033,0.869285189020967,0.8843735052181999,0.8945118710245474,0.010138365806347527,0.7938738860319139,0.2061261139680861,0.15343435465655525
0.9492172940737978,0.8073594455704411,0.877423342010861,0.07006389644041988,0.44536452310823127,0.5546354768917687,0.81628078218291,0.877423342010861,0.061142559827951026,0.776578359072249,0.22342164092775096,0.8295452745144724,0.877423342010861,0.04787806749638868,0.08203741413714598,0.9179625858628541,0.8657749583501725,0.877423342010861,0.011648383660688544,0.09082167948708715,0.9091783205129128,0.8953686791675921,0.877423342010861,0.017945337156731078,0.130714810979033,0.869285189020967,0.9584703100390267,0.877423342010861,0.08104696802816569,0.7938738860319139,0.2061261139680861,0.15343435465655525
0.9409754295215221,0.7568892488858191,0.8603274382769603,0.10343818939114124,0.44536452310823127,0.5546354768917687,0.782582952672743,0.8603274382769603,0.07774448560421732,0.776578359072249,0.22342164092775096,0.7847390410192988,0.8603274382769603,0.07558839725766153,0.08203741413714598,0.9179625858628541,0.819921517073707,0.8603274382769603,0.04040592120325337,0.09082167948708715,0.9091783205129128,0.8384173728308575,0.8603274382769603,0.021910065446102855,0.130714810979033,0.869285189020967,0.8204240098068464,0.8603274382769603,0.039903428470113966,0.7938738860319139,0.2061261139680861,0.15343435465655525
0.9328754578754578,0.7497461567333977,0.8437731051564408,0.09402694842304304,0.44536452310823127,0.5546354768917687,0.7249748501004172,0.8437731051564408,0.1187982550560236,0.776578359072249,0.22342164092775096,0.7768160371598526,0.8437731051564408,0.06695706799658818,0.08203741413714598,0.9179625858628541,0.8133383703534776,0.8437731051564408,0.030434734802963215,0.09082167948708715,0.9091783205129128,0.8079248912060962,0.8437731051564408,0.03584821395034454,0.130714810979033,0.869285189020967,0.8066435454678902,0.8437731051564408,0.037129559688550584,0.7938738860319139,0.2061261139680861,0.15343435465655525
0.9255650198750709,0.6915837751361535,0.8290407965979987,0.13745702146184513,0.44536452310823127,0.5546354768917687,0.6675914410029936,0.8290407965979987,0.16144935559500506,0.776578359072249,0.22342164092775096,0.7331666133950091,0.8290407965979987,0.09587418320298957,0.08203741413714598,0.9179625858628541,0.7793718441556353,0.8290407965979987,0.04966895244236336,0.09082167948708715,0.9091783205129128,0.7825659878097679,0.8290407965979987,0.04647480878823074,0.130714810979033,0.869285189020967,0.792181351501121,0.8290407965979987,0.03685944509687766,0.7938738860319139,0.2061261139680861,0.15343435465655525
